"State","District","Taluka"
"Chhattisgarh","Kawardha","Kawardha"
"Chhattisgarh","Kawardha","Pandaria"
"Chhattisgarh","Korba","Katghora"
"Chhattisgarh","Korba","Korba"
"Chhattisgarh","Koriya","Baikunthpur"
"Chhattisgarh","Koriya","Bharatpur"
"Chhattisgarh","Koriya","Manendragarh"
"Chhattisgarh","Mahasamund","Mahasamund"
"Chhattisgarh","Mahasamund","Seraipali"
"Chhattisgarh","Raigarh","Dharmjaygarh"
"Chhattisgarh","Raigarh","Gharghoda"
"Chhattisgarh","Raigarh","n.a. ( 1156)"
"Chhattisgarh","Raigarh","Raigarh"
"Chhattisgarh","Raigarh","Sarangarh"
"Chhattisgarh","Raipur","Baloda Bazar"
"Chhattisgarh","Raipur","Bhatapara"
"Chhattisgarh","Raipur","Bilaigarh"
"Chhattisgarh","Raipur","Bindra Nawagarh"
"Chhattisgarh","Raipur","Kasdol"
"Chhattisgarh","Raipur","Raipur"
"Chhattisgarh","Raipur","Rajim"
"Chhattisgarh","Raipur","Simga"
"Chhattisgarh","Raj Nandgaon","Chhuikhadan"
"Gujarat","Surat","Mandvi"
"Gujarat","Surat","Mangrol"
"Gujarat","Surat","n.a. ( 1327)"
"Gujarat","Surat","n.a. ( 1344)"
"Gujarat","Surat","n.a. ( 1348)"
"Gujarat","Surat","n.a. ( 1349)"
"Gujarat","Surat","n.a. ( 1352)"
"Gujarat","Surat","n.a. ( 1359)"
"Gujarat","Surat","Nijhar"
"Gujarat","Surat","Olpad"
"Gujarat","Surat","Palsana"
"Gujarat","Surat","Songadh"
"Gujarat","Surat","Uchchhal"
"Gujarat","Surat","Valod"
"Gujarat","Surat","Vyara"
"Gujarat","Surendranagar","Chotila"
"Gujarat","Surendranagar","Dasada"
"Gujarat","Surendranagar","Dhrangadhra"
"Gujarat","Surendranagar","Halvad"
"Gujarat","Surendranagar","Lakhtar"
"Gujarat","Surendranagar","Limbdi"
"Gujarat","Surendranagar","Muli"
"Gujarat","Surendranagar","Sayla"
"Gujarat","Surendranagar","Wadhwan"
"Gujarat","The Dangs","Ahwa"
"Himachal Pradesh","Kangra","Baroh"
"Himachal Pradesh","Kangra","Dera Gopipur"
"Himachal Pradesh","Kangra","Dharmshala"
"Himachal Pradesh","Kangra","Indora"
"Himachal Pradesh","Kangra","Jaisinghpur"
"Himachal Pradesh","Kangra","Jawali"
"Himachal Pradesh","Kangra","Kangra"
"Himachal Pradesh","Kangra","n.a. ( 42)"
"Himachal Pradesh","Kangra","Nurpur"
"Himachal Pradesh","Kangra","Palampur"
"Himachal Pradesh","Kinnaur","Kalpa"
"Himachal Pradesh","Kinnaur","Morang"
"Himachal Pradesh","Kinnaur","n.a. ( 35)"
"Himachal Pradesh","Kinnaur","Nichar"
"Himachal Pradesh","Kinnaur","Puh"
"Himachal Pradesh","Kinnaur","Sangla"
"Himachal Pradesh","Kullu","Ani"
"Himachal Pradesh","Kullu","Banjar"
"Himachal Pradesh","Kullu","Kullu"
"Himachal Pradesh","Kullu","Nermand"
"Himachal Pradesh","Lahul and Spiti","Kyelang"
"Himachal Pradesh","Lahul and Spiti","Spiti"
"Himachal Pradesh","Mandi","Chachyot"
"Jharkhand","Saraikela Kharsawan","Saraikela"
"Jharkhand","Simdega","Simdega"
"Karnataka","Bagalkot","Badami"
"Karnataka","Bagalkot","Bagalkot"
"Karnataka","Bagalkot","Bilgi"
"Karnataka","Bagalkot","Hungund"
"Karnataka","Bagalkot","Jamkhandi"
"Karnataka","Bagalkot","Mudhol"
"Karnataka","Bangalore Rural","Channapatna"
"Karnataka","Bangalore Rural","Devanhalli"
"Karnataka","Bangalore Rural","Dod Ballapur"
"Karnataka","Bangalore Rural","Hoskote"
"Karnataka","Bangalore Rural","Kanakapura"
"Karnataka","Bangalore Rural","Magadi"
"Karnataka","Bangalore Rural","Nelamangala"
"Karnataka","Bangalore Rural","Ramanagaram"
"Karnataka","Bangalore Urban","Anekal"
"Karnataka","Bangalore Urban","Bangalore"
"Karnataka","Bangalore Urban","n.a. ( 2050)"
"Karnataka","Belgaum","Athni"
"Karnataka","Belgaum","Bail Hongal"
"Karnataka","Belgaum","Belgaum"
"Karnataka","Belgaum","Chikodi"
"Andaman and Nicobar","Andaman Islands","n.a. ( 2178)"
"Andaman and Nicobar","Nicobar Islands","n.a. ( 2304)"
"Andhra Pradesh","Adilabad","Adilabad"
"Andhra Pradesh","Adilabad","Asifabad"
"Andhra Pradesh","Adilabad","Boath"
"Andhra Pradesh","Adilabad","Chinnur"
"Andhra Pradesh","Adilabad","Khanapur"
"Andhra Pradesh","Adilabad","Laxettipet"
"Andhra Pradesh","Adilabad","Mudhol"
"Andhra Pradesh","Adilabad","Nirmal"
"Andhra Pradesh","Adilabad","Sirpur"
"Andhra Pradesh","Adilabad","Utnur"
"Andhra Pradesh","Anantapur","Anantapur"
"Andhra Pradesh","Anantapur","Dharmavaram"
"Andhra Pradesh","Anantapur","Gooty"
"Andhra Pradesh","Anantapur","Hindupur"
"Andhra Pradesh","Anantapur","Kadiri"
"Andhra Pradesh","Anantapur","Kalyandurg"
"Andhra Pradesh","Anantapur","Madakasira"
"Andhra Pradesh","Anantapur","Penukonda"
"Andhra Pradesh","Anantapur","Rayadurg"
"Andhra Pradesh","Anantapur","Tadpatri"
"Andhra Pradesh","Chittoor","Chandragiri"
"Andhra Pradesh","Chittoor","Chittoor"
"Andhra Pradesh","Chittoor","Kuppam"
"Andhra Pradesh","Chittoor","Madanapalle"
"Andhra Pradesh","Chittoor","Palmaner"
"Andhra Pradesh","Chittoor","Punganuru"
"Andhra Pradesh","Chittoor","Puttur"
"Andhra Pradesh","Chittoor","Satyavedu"
"Andhra Pradesh","Chittoor","Sri Kalahasti"
"Andhra Pradesh","Chittoor","Vayalipad"
"Andhra Pradesh","Cuddapah","Badvel"
"Andhra Pradesh","Cuddapah","Cuddapah"
"Andhra Pradesh","Cuddapah","Jammalamadugu"
"Andhra Pradesh","Cuddapah","Kamalapuram"
"Andhra Pradesh","Cuddapah","Proddatur"
"Andhra Pradesh","Cuddapah","Pulivendla"
"Andhra Pradesh","Cuddapah","Rajampet"
"Andhra Pradesh","Cuddapah","Rayachoti"
"Andhra Pradesh","Cuddapah","Sidhout"
"Andhra Pradesh","East Godavari","Addatigala"
"Andhra Pradesh","East Godavari","Amalapuram"
"Andhra Pradesh","East Godavari","Kakinada"
"Andhra Pradesh","East Godavari","Kottapeta"
"Andhra Pradesh","East Godavari","Mummidivaram"
"Andhra Pradesh","East Godavari","Peddapuram"
"Andhra Pradesh","East Godavari","Pithapuram"
"Andhra Pradesh","East Godavari","Prathipadu"
"Andhra Pradesh","East Godavari","Rajahmundry"
"Andhra Pradesh","East Godavari","Ramachandrapuram"
"Andhra Pradesh","East Godavari","Rampa Chodavaram"
"Andhra Pradesh","East Godavari","Razole"
"Andhra Pradesh","East Godavari","Tuni"
"Andhra Pradesh","Guntur","Bapatla"
"Andhra Pradesh","Guntur","Guntur"
"Andhra Pradesh","Guntur","Guruzala"
"Andhra Pradesh","Guntur","Narasaraopet"
"Andhra Pradesh","Guntur","Repalle"
"Andhra Pradesh","Guntur","Sattenapalle"
"Andhra Pradesh","Guntur","Tenali"
"Andhra Pradesh","Guntur","Vinukonda"
"Andhra Pradesh","Hyderabad","Hyderabad"
"Andhra Pradesh","Karimnagar","Huzurabad"
"Andhra Pradesh","Karimnagar","Jagtial"
"Andhra Pradesh","Karimnagar","Karimnagar"
"Andhra Pradesh","Karimnagar","Manthani"
"Andhra Pradesh","Karimnagar","Metpalli"
"Andhra Pradesh","Karimnagar","Sirsilla"
"Andhra Pradesh","Karimnagar","Sultanabad"
"Andhra Pradesh","Khammam","Bhadrachalam"
"Andhra Pradesh","Khammam","Borgampad"
"Andhra Pradesh","Khammam","Khammam"
"Andhra Pradesh","Khammam","Kottagudem"
"Andhra Pradesh","Khammam","Madhira"
"Andhra Pradesh","Khammam","Venkatapuram"
"Andhra Pradesh","Khammam","Yellandu"
"Andhra Pradesh","Krishna","Avanigadda"
"Andhra Pradesh","Krishna","Gannavaram"
"Andhra Pradesh","Krishna","Gudivada"
"Andhra Pradesh","Krishna","Jaggayyapeta"
"Andhra Pradesh","Krishna","Kaikalur"
"Andhra Pradesh","Krishna","Machilipatnam"
"Andhra Pradesh","Krishna","Nandigama"
"Andhra Pradesh","Krishna","Nuzvid"
"Andhra Pradesh","Krishna","Tiruvuru"
"Andhra Pradesh","Krishna","Vijayawada"
"Andhra Pradesh","Kurnool","Adoni"
"Andhra Pradesh","Kurnool","Allagadda"
"Andhra Pradesh","Kurnool","Alur"
"Andhra Pradesh","Kurnool","Atmakur"
"Andhra Pradesh","Kurnool","Banganapalli"
"Andhra Pradesh","Kurnool","Dhone"
"Andhra Pradesh","Kurnool","Koilkuntla"
"Andhra Pradesh","Kurnool","Kurnool"
"Andhra Pradesh","Kurnool","Nandikotkur"
"Andhra Pradesh","Kurnool","Nandyal"
"Andhra Pradesh","Kurnool","Pattikonda"
"Andhra Pradesh","Mahbubnagar","Achampet"
"Andhra Pradesh","Mahbubnagar","Alampur"
"Andhra Pradesh","Mahbubnagar","Atamkur"
"Andhra Pradesh","Mahbubnagar","Farooq Nagar"
"Andhra Pradesh","Mahbubnagar","Gadwal"
"Andhra Pradesh","Mahbubnagar","Kalwakurti"
"Andhra Pradesh","Mahbubnagar","Kolhapur"
"Andhra Pradesh","Mahbubnagar","Korangal"
"Andhra Pradesh","Mahbubnagar","Mahbubnagar"
"Andhra Pradesh","Mahbubnagar","Makhtal"
"Andhra Pradesh","Mahbubnagar","Nagar Karnul"
"Andhra Pradesh","Mahbubnagar","Wanparthy"
"Andhra Pradesh","Medak","Gajwel"
"Andhra Pradesh","Medak","Jogipet"
"Andhra Pradesh","Medak","Medak"
"Andhra Pradesh","Medak","Narayankher"
"Andhra Pradesh","Medak","Narsapur"
"Andhra Pradesh","Medak","Sangareddi"
"Andhra Pradesh","Medak","Siddipet"
"Andhra Pradesh","Medak","Zahirabad"
"Andhra Pradesh","Nalgonda","Bhongir"
"Andhra Pradesh","Nalgonda","Devarkonda"
"Andhra Pradesh","Nalgonda","Huzurnagar"
"Andhra Pradesh","Nalgonda","Mirialguda"
"Andhra Pradesh","Nalgonda","Nalgonda"
"Andhra Pradesh","Nalgonda","Ramannapet"
"Andhra Pradesh","Nalgonda","Suriapet"
"Andhra Pradesh","Nellore","Atmakur"
"Andhra Pradesh","Nellore","Gudur"
"Andhra Pradesh","Nellore","Kavali"
"Andhra Pradesh","Nellore","Kovvur"
"Andhra Pradesh","Nellore","n.a. ( 1971)"
"Andhra Pradesh","Nellore","n.a. ( 1975)"
"Andhra Pradesh","Nellore","n.a. ( 1983)"
"Andhra Pradesh","Nellore","n.a. ( 1991)"
"Andhra Pradesh","Nellore","n.a. ( 1992)"
"Andhra Pradesh","Nellore","n.a. ( 1997)"
"Andhra Pradesh","Nellore","n.a. ( 1998)"
"Andhra Pradesh","Nellore","n.a. ( 2000)"
"Andhra Pradesh","Nellore","n.a. ( 2002)"
"Andhra Pradesh","Nellore","n.a. ( 2010)"
"Andhra Pradesh","Nellore","n.a. ( 2011)"
"Andhra Pradesh","Nellore","n.a. ( 2012)"
"Andhra Pradesh","Nellore","n.a. ( 2015)"
"Andhra Pradesh","Nellore","n.a. ( 2016)"
"Andhra Pradesh","Nellore","n.a. ( 2019)"
"Andhra Pradesh","Nellore","n.a. ( 2020)"
"Andhra Pradesh","Nellore","Nellore"
"Andhra Pradesh","Nellore","Rapur"
"Andhra Pradesh","Nellore","Suluru"
"Andhra Pradesh","Nellore","Udayagiri"
"Andhra Pradesh","Nellore","Venkatagiri"
"Andhra Pradesh","Nizamabad","Armur"
"Andhra Pradesh","Nizamabad","Banswada"
"Andhra Pradesh","Nizamabad","Bodhan"
"Andhra Pradesh","Nizamabad","Kamareddy"
"Andhra Pradesh","Nizamabad","Madnur"
"Andhra Pradesh","Nizamabad","Nizamabad"
"Andhra Pradesh","Nizamabad","Yellareddi"
"Andhra Pradesh","Prakasam","Addanki"
"Andhra Pradesh","Prakasam","Chirala"
"Andhra Pradesh","Prakasam","Darsi"
"Andhra Pradesh","Prakasam","Giddalur"
"Andhra Pradesh","Prakasam","Kandukur"
"Andhra Pradesh","Prakasam","Kanigiri"
"Andhra Pradesh","Prakasam","Markapur"
"Andhra Pradesh","Prakasam","Ongole"
"Andhra Pradesh","Prakasam","Podili"
"Andhra Pradesh","Rangareddi","Chevella"
"Andhra Pradesh","Rangareddi","Ibrahimpatan"
"Andhra Pradesh","Rangareddi","Medchal"
"Andhra Pradesh","Rangareddi","n.a. ( 1728)"
"Andhra Pradesh","Rangareddi","Pargi"
"Andhra Pradesh","Rangareddi","Tandur"
"Andhra Pradesh","Rangareddi","Vikarabad"
"Andhra Pradesh","Srikakulam","Chipurupalle"
"Andhra Pradesh","Srikakulam","Ichchapuram"
"Andhra Pradesh","Srikakulam","Narsannapeta"
"Andhra Pradesh","Srikakulam","Palakonda"
"Andhra Pradesh","Srikakulam","Pathapatnam"
"Andhra Pradesh","Srikakulam","Sompeta"
"Andhra Pradesh","Srikakulam","Srikakulam"
"Andhra Pradesh","Srikakulam","Tekkali"
"Andhra Pradesh","Vishakhapatnam","Anakapalli"
"Andhra Pradesh","Vishakhapatnam","Bhimunipatnam"
"Andhra Pradesh","Vishakhapatnam","Chintapalle"
"Andhra Pradesh","Vishakhapatnam","Chodavaram"
"Andhra Pradesh","Vishakhapatnam","n.a. ( 1651)"
"Andhra Pradesh","Vishakhapatnam","Narsipatnam"
"Andhra Pradesh","Vishakhapatnam","Paderu"
"Andhra Pradesh","Vishakhapatnam","Vishakhapatnam"
"Andhra Pradesh","Vishakhapatnam","Yellamanchili"
"Andhra Pradesh","Vizianagaram","Bobbili"
"Andhra Pradesh","Vizianagaram","Gajapatinagaram"
"Andhra Pradesh","Vizianagaram","n.a. ( 1607)"
"Andhra Pradesh","Vizianagaram","Parvathipuram"
"Andhra Pradesh","Vizianagaram","Puspatirega"
"Andhra Pradesh","Vizianagaram","Salur"
"Andhra Pradesh","Vizianagaram","Srungavarapukota"
"Andhra Pradesh","Vizianagaram","Vizianagaram"
"Andhra Pradesh","Warangal","Hanmakonda"
"Andhra Pradesh","Warangal","Jangaon"
"Andhra Pradesh","Warangal","Mulug"
"Andhra Pradesh","Warangal","n.a. ( 1711)"
"Andhra Pradesh","Warangal","Narsampet"
"Andhra Pradesh","Warangal","Parkal"
"Andhra Pradesh","West Godavari","Bhimavaram"
"Andhra Pradesh","West Godavari","Chintalapudi"
"Andhra Pradesh","West Godavari","Eluru"
"Andhra Pradesh","West Godavari","Kovvur"
"Andhra Pradesh","West Godavari","Narsapur"
"Andhra Pradesh","West Godavari","Polavaram"
"Andhra Pradesh","West Godavari","Tadepallegudem"
"Andhra Pradesh","West Godavari","Tanuku"
"Arunachal Pradesh","Changlang","n.a. ( 347)"
"Arunachal Pradesh","East Kameng","Seepa"
"Arunachal Pradesh","East Siang","Pasighat"
"Arunachal Pradesh","Kurung Kumey","Itanagar"
"Arunachal Pradesh","Lohit","Tezu"
"Arunachal Pradesh","Lower Dibang Valley","Amini"
"Arunachal Pradesh","Lower Subansiri","Itanagar"
"Arunachal Pradesh","Papum Pare","Itanagar"
"Arunachal Pradesh","Tawang","Tawang"
"Arunachal Pradesh","Tirap","Tirap"
"Arunachal Pradesh","Upper Dibang Valley","Amini"
"Arunachal Pradesh","Upper Siang","Along"
"Arunachal Pradesh","Upper Subansiri","Daporijo"
"Arunachal Pradesh","West Kameng","Bomdila"
"Arunachal Pradesh","West Siang","Along"
"Assam","Barpeta","Berpeta"
"Assam","Bongaigaon","Kokrajhar"
"Assam","Cachar","Silchar"
"Assam","Darrang","Mangaldai"
"Assam","Dhemaji","Dhemaji"
"Assam","Dhuburi","Gauripur"
"Assam","Dibrugarh","Dibrugarh"
"Assam","Goalpara","Goalpara"
"Assam","Golaghat","Golaghat"
"Assam","Hailakandi","Hailakandi"
"Assam","Jorhat","Jorhat"
"Assam","Kamrup","Guwahati"
"Assam","Karbi Anglong","Diphu"
"Assam","Karbi Anglong","n.a. ( 571)"
"Assam","Karimganj","Karimganj"
"Assam","Kokrajhar","Kokrajhar"
"Assam","Lakhimpur","Lakhimpur"
"Assam","Marigaon","Nagaon"
"Assam","Nagaon","Nagaon"
"Assam","Nalbari","Nalbari"
"Assam","North Cachar Hills","Haflong"
"Assam","Sibsagar","Sibsagar"
"Assam","Sonitpur","Tezpur"
"Assam","Tinsukia","Chapakhowa"
"Assam","Tinsukia","Tinsukia"
"Bihar","Araria","Araria"
"Bihar","Aurangabad","Aurangabad"
"Bihar","Banka","Banka"
"Bihar","Begusarai","Begusarai"
"Bihar","Bhabua","Bhabua"
"Bihar","Bhagalpur","Bhagalpur"
"Bihar","Bhagalpur","Naugachhia"
"Bihar","Bhojpur","Ara"
"Bihar","Buxar","Buxar"
"Bihar","Darbhanga","Benipur"
"Bihar","Darbhanga","Darbhanga"
"Bihar","Gaya","Gaya"
"Bihar","Gopalganj","Gopalganj"
"Bihar","Jamui","Jamui"
"Bihar","Jehanabad","Jahanabad"
"Bihar","Katihar","Katihar"
"Bihar","Khagaria","Khagaria"
"Bihar","Kishanganj","Kishanganj"
"Bihar","Lakhisarai","Lakhisarai"
"Bihar","Madhepura","Kishanganj"
"Bihar","Madhepura","Madhepura"
"Bihar","Madhubani","Benipatti"
"Bihar","Madhubani","Jhanjharpur"
"Bihar","Madhubani","Madhubani"
"Bihar","Munger","Munger"
"Bihar","Muzaffarpur","Muzaffarpur"
"Bihar","Muzaffarpur","n.a. ( 542)"
"Bihar","Nalanda","Bihar Sharif"
"Bihar","Nalanda","Hilsa"
"Bihar","Nawada","Nawada"
"Bihar","Pashchim Champaran","Bettiah"
"Bihar","Patna","Barh"
"Bihar","Patna","Danapur"
"Bihar","Patna","Masaurhi"
"Bihar","Patna","n.a. ( 652)"
"Bihar","Purba Champaran","Dhaka"
"Bihar","Purba Champaran","Motihari"
"Bihar","Purnia","Purnia"
"Bihar","Rohtas","Sasaram"
"Bihar","Saharsa","Saharsa"
"Bihar","Samastipur","Dalsing Sarai"
"Bihar","Samastipur","Rusera"
"Bihar","Samastipur","Samastipur"
"Bihar","Saran","Chhapra"
"Bihar","Sheikhpura","Sheikhpura"
"Bihar","Sheohar","Sheohar"
"Bihar","Sitamarhi","n.a. ( 455)"
"Bihar","Sitamarhi","Sitamarhi"
"Bihar","Siwan","Siwan"
"Bihar","Supaul","Birpur"
"Bihar","Supaul","Supaul"
"Bihar","Vaishali","Hajipur"
"Chandigarh","Chandigarh","Chandigarh"
"Chhattisgarh","Bastar","Jagdalpur"
"Chhattisgarh","Bastar","Kondagaon"
"Chhattisgarh","Bastar","n.a. ( 1547)"
"Chhattisgarh","Bastar","n.a. ( 1608)"
"Chhattisgarh","Bastar","Narainpur"
"Chhattisgarh","Bilaspur","Bilaspur"
"Chhattisgarh","Bilaspur","Kota"
